country,corruption_perception,freedom,gdp_per_capita,generosity,happiness_score,life_expectancy,social_support,year,happiness_scoreP1,Australia and New Zealand,Central and Eastern Europe,Eastern Asia,Latin America and Caribbean,Middle East and Northern Africa,North America,Southeastern Asia,Southern Asia,Sub-Saharan Africa,Western Europe
Afghanistan,11.829792990495555,11.740331491712706,15.83969465648855,37.3046875,16.085192697768758,22.348816827344432,32.66423357664234,2018,19.371194936198997,0,0,0,0,0,0,0,1,0,0
Albania,10.51537154710716,57.87292817679557,43.70229007633587,29.1015625,35.43610547667343,69.23751095530237,49.695863746958636,2018,36.61257714818985,0,1,0,0,0,0,0,0,0,0
Algeria,44.36172371435834,10.635359116022098,46.70801526717558,10.7421875,49.817444219066935,60.21034180543383,70.19464720194647,2018,61.52130258494404,0,0,0,0,1,0,0,0,0,0
Argentina,17.744689485743333,78.72928176795578,51.19274809160304,12.109375,71.98782961460445,65.2059596844873,89.29440389294405,2018,76.26774801443854,0,0,0,1,0,0,0,0,0,0
Armenia,9.200950103718764,35.911602209944746,38.93129770992366,15.0390625,30.0608519269777,58.36985100788781,60.21897810218978,2018,31.17646911806796,0,1,0,0,0,0,0,0,0,0
Australia,99.23881897582382,89.36464088397791,63.93129770992366,70.5078125,89.91886409736307,79.75460122699387,95.68126520681265,2018,90.16227018035214,1,0,0,0,0,0,0,0,0,0
Austria,73.60760082975011,85.22099447513811,63.97900763358778,47.265625,87.22109533468559,78.08939526730938,91.48418491484185,2018,84.5233274231576,0,0,0,0,0,0,0,0,0,1
Azerbaijan,57.834543509089386,59.39226519337015,48.854961832061065,6.0546875,47.9107505070994,52.84837861524978,70.62043795620437,2018,48.58012588222415,0,1,0,0,0,0,0,0,0,0
Bahrain,40.41845938419315,82.04419889502759,63.835877862595424,47.4609375,66.24746450304261,61.17440841367221,83.09002433090022,2018,65.88235077461421,0,0,0,0,1,0,0,0,0,0
Bangladesh,47.31917196198222,80.11049723756905,25.381679389312982,29.8828125,33.69168356997972,50.74496056091147,51.703163017031635,2018,35.88234891756065,0,0,0,0,0,0,0,1,0,0
Belarus,50.605225570453214,42.40331491712707,49.5706106870229,19.7265625,53.63083164300203,61.34969325153373,91.11922141119221,2018,55.37524882968497,0,1,0,0,0,0,0,0,0,0
Belgium,78.8652866033037,80.52486187845301,63.167938931297705,36.71875,82.92089249492902,78.35232252410167,90.20681265206812,2018,82.1906651928266,0,0,0,0,0,0,0,0,0,1
Benin,22.016559176755614,60.77348066298342,18.034351145038162,31.8359375,26.409736308316432,21.034180543382995,22.62773722627737,2018,16.59229340466227,0,0,0,0,0,0,0,0,1,0
Bhutan,56.19151670485389,74.72375690607734,37.97709923664122,71.09375,45.496957403651116,46.18755477651184,81.20437956204378,2018,44.056798304312174,0,0,0,0,0,0,0,1,0,0
Bolivia,17.744689485743333,83.70165745856353,35.83015267175572,27.539062499999996,59.08722109533471,44.52234881682735,74.39172749391726,2018,60.52738243861319,0,0,0,1,0,0,0,0,0,0
Bosnia and Herzegovina,0.0,38.67403314917127,43.654580152671755,42.18750000000001,46.45030425963488,66.43295354951798,65.57177615571777,2018,47.52535821941764,0,1,0,0,0,0,0,0,0,0
Botswana,30.231693197933087,76.93370165745856,48.52099236641222,8.203125,15.233265720081134,36.54688869412796,71.41119221411194,2018,18.80324609381197,0,0,0,0,0,0,0,0,1,0
Brazil,28.917271754544693,68.0939226519337,47.04198473282442,21.484375,72.61663286004055,59.15863277826468,89.65936739659367,2018,76.99797624506775,0,0,0,1,0,0,0,0,0,0
Bulgaria,2.957448247623889,49.58563535911601,50.28625954198474,12.5,42.47464503042596,62.401402278702896,92.15328467153284,2018,38.03245892631115,0,1,0,0,0,0,0,0,0,0
