country,happiness_score,region,year,corruption_perceptionP1,freedomP1,gdp_per_capitaP1,generosityP1,happiness_scoreP1,life_expectancyP1,social_supportP1,corruption_perceptionP2,freedomP2,gdp_per_capitaP2,generosityP2,happiness_scoreP2,life_expectancyP2,social_supportP2,corruption_perceptionP3,freedomP3,gdp_per_capitaP3,generosityP3,happiness_scoreP3,life_expectancyP3,social_supportP3,Australia and New Zealand,Central and Eastern Europe,Eastern Asia,Latin America and Caribbean,Middle East and Northern Africa,North America,Southeastern Asia,Southern Asia,Sub-Saharan Africa,Western Europe
Switzerland,94.27991886409737,Western Europe,2018,100.0,85.64510727455607,74.66505502016506,56.74790591001503,94.42190584256248,75.20870197038711,92.26957086809065,100.0,80.87983425414366,72.86879770992365,54.84960937500001,94.72616632860041,75.63803680981594,69.66180048661799,100.0,91.9295580110497,66.62738549618321,57.96484375000001,96.30831643002031,82.5092024539877,82.08698296836981,0,0,0,0,0,0,0,0,0,1
Iceland,94.4421906693712,Western Europe,2018,50.44965047493773,86.62467338762222,70.6408883779103,92.87894936278458,94.62475024178842,73.05452428712438,97.966788749045,49.20865278685304,78.2099447513812,68.06583969465649,93.12109375,94.56389452332658,76.01489921121821,71.97445255474452,46.481228291822106,86.84668508287291,62.13358778625955,85.21484375,95.78093306288031,83.07099035933392,85.29379562043793,0,0,0,0,0,0,0,0,0,1
Denmark,95.65922920892494,Western Europe,2018,100.0,86.46501691301876,70.7243803803249,69.39072045497599,94.98985468494972,69.46235973515286,94.35046183221836,100.0,80.02900552486189,68.78721374045801,70.646484375,95.0709939148073,69.6792287467134,70.78710462287104,100.0,89.69337016574588,63.23854961832061,66.67773437500001,95.09127789046656,76.6555652936021,82.76034063260339,0,0,0,0,0,0,0,0,0,1
Norway,96.45030425963488,Western Europe,2018,100.0,87.76555074512623,77.12133513152148,70.70551509968945,95.29412128378843,69.8217793998752,93.28002187167336,100.0,82.33287292817678,75.2595419847328,74.013671875,94.50304259634886,69.74496056091148,68.54622871046229,100.0,92.50414364640885,69.6087786259542,67.771484375,94.98985801217042,77.58194566170027,80.9580291970803,0,0,0,0,0,0,0,0,0,1
Canada,91.0547667342799,North America,2018,94.43182078718849,84.40620332791657,70.57272978411355,85.06635203957559,90.81135871686024,73.1426513999518,90.106386337837,100.0,79.24033149171271,68.7094465648855,87.56640625,92.59634888438131,72.53286590709905,66.67274939172749,100.0,87.4267955801105,63.27719465648854,89.474609375,93.06288032454364,79.37160385626645,80.45072992700729,0,0,0,0,0,1,0,0,0,0
Finland,97.22109533468564,Western Europe,2018,100.0,85.35232827149693,68.87270635320945,47.94585402123632,93.91480451665116,70.916535455234,93.68897354515812,100.0,78.87292817679555,67.07919847328245,49.7890625,92.77890466531441,71.07011393514459,69.0170316301703,100.0,88.63121546961322,61.55772900763358,45.607421875,92.63691683569981,77.92375109553025,80.18613138686129,0,0,0,0,0,0,0,0,0,1
Netherlands,93.34685598377285,Western Europe,2018,92.88419113933662,80.85421106433341,71.75308374958206,91.89254487864667,92.04867860124749,71.05136941547046,86.91844423902006,98.34172634071123,76.25828729281767,69.8797709923664,92.609375,91.27789046653143,71.19281332164769,62.5985401459854,100.0,85.04972375690608,63.42748091603053,92.98828125,92.06896551724138,78.25065731814199,77.86922141119221,0,0,0,0,0,0,0,0,0,1
Sweden,90.77079107505071,Western Europe,2018,100.0,84.65802471940687,71.29710252958397,75.27329144068065,90.16227018035214,72.81990870376309,89.91254072119708,100.0,80.41160220994476,69.26574427480917,74.71484375,90.30425963488844,72.8492550394391,66.1581508515815,100.0,91.13259668508287,63.5357824427481,70.82421875,91.78498985801218,79.83085013146362,78.41058394160585,0,0,0,0,0,0,0,0,0,1
New Zealand,90.973630831643,Australia and New Zealand,2018,100.0,84.81521138828757,67.06612824483683,97.65725117176778,90.77079370587649,71.58279627901122,94.17245277813198,100.0,80.31353591160219,64.91698473282442,96.486328125,91.17647058823529,72.8273444347064,71.33698296836981,100.0,88.31215469613261,59.6459923664122,92.775390625,90.20283975659231,79.61174408413673,80.27189781021899,1,0,0,0,0,0,0,0,0,0
Australia,89.91886409736307,Australia and New Zealand,2018,98.97058839748692,83.09494230628674,70.82132324007634,93.30063476227228,90.16227018035214,73.96027981242418,91.85170025140995,100.0,78.50414364640882,68.91364503816793,92.591796875,90.75050709939148,74.60122699386503,67.19951338199512,100.0,89.95027624309391,63.625,85.08203125,90.16227180527383,81.64417177914109,79.63686131386861,1,0,0,0,0,0,0,0,0,0
Israel,80.6288032454361,Middle East and Northern Africa,2018,28.01101104957623,56.075774009715175,65.61939042943129,64.4692685455084,88.72210589673898,73.47975458417616,83.71593453298235,28.680675894734772,50.32044198895027,63.81965648854961,63.0625,89.81744421906694,74.4233128834356,60.5456204379562,25.581927341946635,57.070441988950265,58.61498091603053,64.7890625,90.04056795131848,80.09377738825592,74.44829683698296,0,0,0,0,1,0,0,0,0,0
Costa Rica,85.86206896551725,Latin America and Caribbean,2018,32.895561964550154,80.12868093522208,52.944002033189875,41.916646296158405,86.00405671775458,66.56522922198255,86.15593985629498,34.658007408543504,76.27762430939225,50.991889312977094,44.048828125,86.1663286004057,66.7361963190184,62.13625304136252,34.776305338448445,87.53591160220994,45.600190839694655,49.79882812499999,88.98580121703856,75.39614373356707,75.29683698296836,0,0,0,1,0,0,0,0,0,0
Austria,87.22109533468559,Western Europe,2018,72.641621153897,78.42074441646338,70.94929691489408,61.811000341549615,84.5233274231576,71.45735488243005,88.80443816637471,70.15067243363865,75.0759668508287,69.19751908396947,64.189453125,86.815415821501,70.60911481156879,65.92639902676397,61.370337191804154,86.23342541436466,63.799141221374036,64.625,88.45841784989858,78.03856266432955,78.89537712895375,0,0,0,0,0,0,0,0,0,1
Mexico,74.01622718052737,Latin America and Caribbean,2018,43.630285842167275,57.00690723255857,55.0183119209666,23.63094390602773,75.84178638264808,62.22427674911193,73.65341604190998,60.31551398348496,52.084254143646405,53.20038167938932,22.919921875,79.89858012170386,62.35144609991236,43.46715328467153,70.03237450373368,66.54834254143645,48.689885496183216,27.48828125,88.19472616632862,71.37949167397021,55.62712895377128,0,0,0,1,0,0,0,0,0,0
United States,82.08924949290063,North America,2018,44.571632988142575,69.85366344451906,73.77191240550906,76.6755430959166,84.25963550745601,67.86035300345924,86.36986397188628,48.85704505074664,66.52348066298342,71.94465648854961,80.228515625,86.51115618661258,68.27344434706399,63.736009732360095,52.215391838604,75.41988950276242,66.53196564885496,78.330078125,86.815415821501,75.52936021034179,75.85827250608271,0,0,0,0,0,1,0,0,0,0
Brazil,72.61663286004055,Latin America and Caribbean,2018,36.50567686813503,60.42178823144392,52.83173713975285,31.70896379742773,76.99797624506775,54.03613960607125,87.06240903432054,46.5502354176,55.83563535911602,51.88645038167938,30.8125,83.42799188640977,53.82559158632778,63.222627737226276,57.57494527402017,67.74723756906076,46.814885496183216,28.46484375,84.05679513184585,61.08851884312006,74.99209245742092,0,0,0,1,0,0,0,0,0,0
